"median","Q1","Q3","value","FEATURE"
61.8,37.1,83,"63.9 ± 30.8","PImax % théorique : [ PIMAX_THEO_PP ] [ STATIC ]"
44,31.5,65.5,"50.3 ± 23.3","PImax (à la CRF) : cm H2O [ PIMAX_PP ] [ STATIC ]"
4,3.1,5.1,"4.1 ± 1.5","PN (FS_PN_VA)"
3.2,3,4.1,"3.5 ± 1.1","PN (FS_PN_VA_X)"
-1.5,-6.9,0,"-4.2 ± 6.7","POIDS_DIFFERENCE"
1,0.5,1.8,"1.2 ± 1.0","PSA Total (4TPSA)"
38.5,36,41,"38.7 ± 4.3","PaCO2 (mmHg) :  [ PACO2_PP ] [ STATIC ]"
85.6,78.9,94,"86.9 ± 12.2","PaO2 (mmHg) :  [ PAO2_PP ] [ STATIC ]"
4,3,4,"3.4 ± 0.8","Parole"
100,97.5,100,"98.2 ± 5.1","Patient (TPOPTP)"
41.5,35.3,51.8,"45.5 ± 16.0","Ph Tau (4PTAU)"
64,51,76,"67.2 ± 27.9","Phosphatases alc. (PAL)"
1.2,1.1,1.3,"1.2 ± 0.2","Phosphates (PHO)"
242,199,275,"243.9 ± 65.9","Plaquettes (NG_PLAQ)"
229.5,214.5,241,"234.0 ± 45.0","Plaquettes (NG_PLAQ_IMP)"
30,19.5,45,"35.0 ± 20.7","Plomb sanguin (3PLO_S)"
0.6,0.5,0.8,"0.6 ± 0.2","Polynucleaires basophiles (FS_PB_X)"
2.3,1.5,3.3,"2.6 ± 1.9","Polynucleaires eosinophiles (FS_PE_X)"
56.4,50.7,65.8,"56.3 ± 10.2","Polynucleaires neutrophiles (FS_PN_X)"
4.2,4.1,4.4,"4.2 ± 0.3","Potassium (K)"
42.1,31.2,53.1,"42.1 ± 31.0","Potassium (urines) (K_U)"
0.3,0.3,0.3,"0.3 ± 0.1","Prealbumine (PRE)"
8,4.5,11.5,"8.0 ± 9.9","Prise en charge BRET/TROU (BAPECBJOUR)"
38,21,57,"36.3 ± 20.5","Prise en charge BRET/TROU (BAPECINT0516)"
0.1,0.1,0.1,,"Procalcitonine (PCTK)"
0.1,0.1,0.1,,"Prot/Creat (ALB_U_C)"
13331,9375.5,16167,"13657.2 ± 5646.0","Proteine B amyloide 1-40 (4AB40-L)"
0.1,0.1,0.1,"0.1 ± 0.0","Proteine B amyloide 1-40 (4R_AB)"
1317,1005.8,1510,"1338.6 ± 507.1","Proteine B amyloide 1-42 (4AB42-L)"
33.2,25.7,43.1,"35.9 ± 14.6","Proteine P-TAU (4PTAU-L)"
8.9,7.7,9.8,"9.0 ± 2.2","Proteine TAU (4R_TAU)"
273.5,237.8,397,"320.4 ± 138.4","Proteine TAU (4TAU-L)"
0.4,0.4,0.5,"0.5 ± 0.2","Proteines (LCR) (PRO_C)"
70,66,73,"69.8 ± 4.9","Proteines (PRO)"
68,66,72,"68.8 ± 4.7","Proteines (electrophorese) (PRO_ELE)"
0.1,0,0.1,"0.1 ± 0.1","Proteines (urines) (PRO_U)"
0.7,0.5,0.8,"0.7 ± 0.3","Quotient albumine (QUO_ALB)"
0.1,0.1,0.1,"0.1 ± 0.0","Rapport IgG(LCR)/ALB(LCR) (RAP_G_ALB)"
2.4,2.3,2.5,"2.4 ± 0.1","Recept.Soluble Transferrine (RTRF)"
97,96,98,"96.5 ± 1.5","SaO2 :  [ SAO2_PP ] [ STATIC ]"
4,3,4,"3.5 ± 0.9","Salivation"
96.9,95.9,97.6,"96.7 ± 1.4","Saturation gz_sat"
0,0,0,"0.0 ± 0.0","Sequencage < 800 (bm_seq)"
141,139,142,"140.4 ± 2.5","Sodium"
141,138.5,142.5,"140.3 ± 2.7","Sodium (nan)"
72.5,50.8,94.3,"72.5 ± 61.5","Sodium (urines) (NA_U)"
0.1,0,0.1,"0.1 ± 0.0","Syphilis abbott (SYPTTT)"
0,0,0,"0.0 ± 0.0","T.P.H.A (TPHA)"
0.9,0.9,1.1,"1.1 ± 0.2","TCA (TCAR)"
29.8,29.6,36.1,"33.8 ± 7.3","TCA Patient (P) (TCAP)"
32,31.9,32.5,"32.3 ± 0.6","TCA Temoin (T) (TCAT)"
1,1,1.1,"1.0 ± 0.1","TCK (TCKR)"
28.8,27.6,30.7,"29.0 ± 2.3","TCK Patient (P) (TCKP)"
28.5,28,29.3,"28.5 ± 0.8","TCK Temoin (T) (TCKT)"
30.9,29.8,31.7,"30.9 ± 1.4","TCMH (NG_TCMH_X)"
1.6,1.1,2.3,"1.9 ± 1.6","TSH (4TSH)"
273,207,387.8,"315.3 ± 161.8","Tau (4TAU)"
13,12.6,13.5,"13.1 ± 0.8","Temps Patient (TPOPTTP)"
13.4,13.2,13.4,"13.4 ± 0.1","Temps Temoin (TPOPTTT)"
136,126,146.5,"131.6 ± 20.6","Testing musculaire :  [ TEST_MUSCUL ] [ STATIC ]"
1,0,61.9,"117.6 ± 256.4","Titre (HBSC2T)"
2.3,2.1,2.5,"2.3 ± 0.3","Transferrine (TRF)"
1.3,1,1.6,"1.5 ± 1.4","Triglycerides (TRI)"
1.1,0.9,1.4,"1.3 ± 1.2","Triglycerides (TRI_G)"
0,0,0,"0.0 ± 0.0","Troponine I (TRO)"
5.5,4.5,6.4,"5.6 ± 1.4","Uree (URE)"
536,536,536,,"Uree (urines) (URE_U)"
0,0,0,"0.0 ± 0.0","V.D.R.L (VDRL)"
92,89.6,94.2,"92.2 ± 3.8","VGM (NG_VGM)"
91.6,89,92.8,"91.1 ± 3.8","VGM (NG_VGM_X)"
1.8,1.6,2.1,"1.8 ± 0.4","Vitamine A1 (Retinol) (VITA)"
358.5,283.5,465.5,"432.3 ± 348.7","Vitamine B12 (4B12)"
31.4,26.2,36.8,"32.6 ± 11.6","Vitamine E (Tocopherol) (VITE)"
68,59,77,"68.4 ± 14.3","WEIGHT"
3,1,8.5,"6.6 ± 9.2","bilirubine totale (gz_bil)"
106,104,108,"105.8 ± 3.0","chlorures (gds) (gz_cl)"
8.4,7.9,9,"8.4 ± 0.8","ctO2 (gz_ctO2)"
1,1,1,,"gene c9orf72 (C9ORF72TEX_TXT)"
6.7,5.8,8.2,"7.2 ± 2.1","glucose (gds) (gz_glu)"
0.9,0.6,1.3,"1.1 ± 0.6","lactate (gds) (gz_lac)"
15,3,140,"1785.1 ± 14580.6","mm3 (BACYH2)"
25.5,24.7,26.1,"25.7 ± 1.6","p50 (gz_p50)"
38,36,40,"38.3 ± 4.1","pCO2 (gz_pCO2)"
7.4,7.4,7.5,"7.4 ± 0.0","pH : [ PH_PP ] [ STATIC ]"
86.2,79,94.7,"87.5 ± 12.8","pO2 (gz_pO2)"
4,3.9,4.2,"4.0 ± 0.3","potassium (gds) (gz_k)"
141,140,142,"140.6 ± 2.2","sodium (gds) (gz_na)"
38.8,34.4,41,"36.6 ± 9.9","soit (RETI_VA)"
26.5,25.4,27.7,"26.7 ± 2.2","tCO2 (gz_tCO2)"
304,212,487,"427.1 ± 442.2","temps_diagnostic [ STATIC ]"
