"FEATURE","median","Q1","Q3","value"
"Quotient albumine (QUO_ALB)",0.7,0.5,0.8,"0.7 ± 0.3"
"Rapport IgG(LCR)/ALB(LCR) (RAP_G_ALB)",0.1,0.1,0.1,"0.1 ± 0.0"
"Recept.Soluble Transferrine (RTRF)",2.4,2.3,2.5,"2.4 ± 0.1"
"SaO2 :  [ SAO2_PP ] [ STATIC ]",97,96,98,"96.5 ± 1.5"
"Salivation",4,3,4,"3.5 ± 0.9"
"Saturation gz_sat",96.9,95.9,97.6,"96.7 ± 1.4"
"Sequencage < 800 (bm_seq)",0,0,0,"0.0 ± 0.0"
"Sodium",141,139,142,"140.4 ± 2.5"
"Sodium (nan)",141,138.5,142.5,"140.3 ± 2.7"
"Sodium (urines) (NA_U)",72.5,50.8,94.3,"72.5 ± 61.5"
"Syphilis abbott (SYPTTT)",0.1,0,0.1,"0.1 ± 0.0"
"T.P.H.A (TPHA)",0,0,0,"0.0 ± 0.0"
"TCA (TCAR)",0.9,0.9,1.1,"1.1 ± 0.2"
"TCA Patient (P) (TCAP)",29.8,29.6,36.1,"33.8 ± 7.3"
"TCA Temoin (T) (TCAT)",32,31.9,32.5,"32.3 ± 0.6"
"TCK (TCKR)",1,1,1.1,"1.0 ± 0.1"
"TCK Patient (P) (TCKP)",28.8,27.6,30.7,"29.0 ± 2.3"
"TCK Temoin (T) (TCKT)",28.5,28,29.3,"28.5 ± 0.8"
"TCMH (NG_TCMH_X)",30.9,29.8,31.7,"30.9 ± 1.4"
"TSH (4TSH)",1.6,1.1,2.3,"1.9 ± 1.6"
"Tau (4TAU)",273,207,387.8,"315.3 ± 161.8"
"Temps Patient (TPOPTTP)",13,12.6,13.5,"13.1 ± 0.8"
"Temps Temoin (TPOPTTT)",13.4,13.2,13.4,"13.4 ± 0.1"
"Testing musculaire :  [ TEST_MUSCUL ] [ STATIC ]",136,126,146.5,"131.6 ± 20.6"
"Titre (HBSC2T)",1,0,61.9,"117.6 ± 256.4"
"Transferrine (TRF)",2.3,2.1,2.5,"2.3 ± 0.3"
"Triglycerides (TRI)",1.3,1,1.6,"1.5 ± 1.4"
"Triglycerides (TRI_G)",1.1,0.9,1.4,"1.3 ± 1.2"
"Troponine I (TRO)",0,0,0,"0.0 ± 0.0"
"Uree (URE)",5.5,4.5,6.4,"5.6 ± 1.4"
"Uree (urines) (URE_U)",536,536,536,
"V.D.R.L (VDRL)",0,0,0,"0.0 ± 0.0"
"VGM (NG_VGM)",92,89.6,94.2,"92.2 ± 3.8"
"VGM (NG_VGM_X)",91.6,89,92.8,"91.1 ± 3.8"
"Vitamine A1 (Retinol) (VITA)",1.8,1.6,2.1,"1.8 ± 0.4"
"Vitamine B12 (4B12)",358.5,283.5,465.5,"432.3 ± 348.7"
"Vitamine E (Tocopherol) (VITE)",31.4,26.2,36.8,"32.6 ± 11.6"
"WEIGHT",0,-4,0,"-2.3 ± 5.6"
"bilirubine totale (gz_bil)",3,1,8.5,"6.6 ± 9.2"
"chlorures (gds) (gz_cl)",106,104,108,"105.8 ± 3.0"
"ctO2 (gz_ctO2)",8.4,7.9,9,"8.4 ± 0.8"
"gene c9orf72 (C9ORF72TEX_TXT)",1,1,1,
"glucose (gds) (gz_glu)",6.7,5.8,8.2,"7.2 ± 2.1"
"lactate (gds) (gz_lac)",0.9,0.6,1.3,"1.1 ± 0.6"
"mm3 (BACYH2)",15,3,140,"1785.1 ± 14580.6"
"p50 (gz_p50)",25.5,24.7,26.1,"25.7 ± 1.6"
"pCO2 (gz_pCO2)",38,36,40,"38.3 ± 4.1"
"pH : [ PH_PP ] [ STATIC ]",7.4,7.4,7.5,"7.4 ± 0.0"
"pO2 (gz_pO2)",86.2,79,94.7,"87.5 ± 12.8"
"potassium (gds) (gz_k)",4,3.9,4.2,"4.0 ± 0.3"
"sodium (gds) (gz_na)",141,140,142,"140.6 ± 2.2"
"soit (RETI_VA)",38.8,34.4,41,"36.6 ± 9.9"
"tCO2 (gz_tCO2)",26.5,25.4,27.7,"26.7 ± 2.2"
"temps_diagnostic [ STATIC ]",304,212,487,"427.1 ± 442.2"
